Date,Open,High,Low,Close,Adj Close,Volume
2010/12/31,11.53392887,11.5528574,11.47535706,11.52000046,9.876848221,193508000
2011/1/3,11.63000011,11.79500008,11.60142899,11.77035713,10.09149456,445138400
2011/1/4,11.87285709,11.875,11.71964264,11.83178616,10.14416027,309080800
2011/1/5,11.76964283,11.94071388,11.7678566,11.92857075,10.22714138,255519600
2011/1/6,11.95428562,11.97321415,11.88928604,11.9189291,10.21887302,300428800
2011/1/7,11.92821407,12.01249981,11.85357094,12.00428581,10.29205799,311931200
2011/1/10,12.10107136,12.258214,12.04178619,12.23035717,10.48588085,448560000
2011/1/11,12.31714344,12.31999969,12.12392902,12.20142937,10.46108055,444108000
2011/1/12,12.25892925,12.30107117,12.21428585,12.30071354,10.54619884,302590400
2011/1/13,12.32714272,12.38000011,12.28035736,12.34571362,10.58478451,296780400
2011/1/14,12.35321426,12.445714,12.30142879,12.445714,10.67052078,308840000
2011/1/18,11.7685709,12.31285667,11.6428566,12.16607094,10.43076611,1880998000
2011/1/19,12.44107056,12.44999981,12.03142929,12.10142899,10.37534332,1135612800
2011/1/20,12.01535702,12.08214283,11.78999996,11.88142872,10.18672371,764789200
2011/1/21,11.92035675,11.96000004,11.66535664,11.66857147,10.00422764,754401200
2011/1/24,11.67392921,12.05178642,11.66857147,12.05178642,10.33278275,574683200
2011/1/25,12.01178646,12.19428635,11.94892883,12.19285679,10.45372963,546868000
2011/1/26,12.2485714,12.34285736,12.19642925,12.28035736,10.52874947,506875600
2011/1/27,12.27785683,12.31035709,12.24392891,12.25749969,10.50915241,285026000
2011/1/28,12.29178619,12.30000019,11.91178608,12.00357056,10.29144382,592057200
2011/1/31,11.99285698,12.14428616,11.93928623,12.11857128,10.3900404,377246800
2011/2/1,12.18928623,12.34464264,12.1778574,12.32250023,10.56488323,426633200
2011/2/2,12.30178642,12.3303566,12.26964283,12.29714298,10.54313755,258955200
2011/2/3,12.27857113,12.29428577,12.09107113,12.26571369,10.51619434,393797600
2011/2/4,12.27285671,12.38214302,12.26821423,12.375,10.6098938,321840400
2011/2/7,12.42464256,12.61607075,12.41571426,12.56714344,10.77462959,485021600
2011/2/8,12.63142872,12.6971426,12.57678604,12.68571377,10.87628937,381040800
2011/2/9,12.68535709,12.82142925,12.67392921,12.79142857,10.96692371,482745200
2011/2/10,12.76392937,12.8571434,12.42857075,12.66214275,10.8560791,928550000
2011/2/11,12.6696434,12.77857113,12.6264286,12.74464321,10.92681217,367572800
2011/2/14,12.74250031,12.83857059,12.7396431,12.82785702,10.99815655,310416400
2011/2/15,12.82821369,12.85607147,12.76964283,12.85357094,11.02020359,284174800
2011/2/16,12.88571358,13.03214264,12.875,12.96892929,11.11910439,481157600
2011/2/17,12.75892925,12.866786,12.73285675,12.79642868,10.97120953,530583200
2011/2/18,12.8110714,12.83928585,12.48285675,12.52000046,10.73421192,816057200
2011/2/22,12.21964264,12.33571434,12.06142902,12.09321404,10.36830044,872555600
2011/2/23,12.09892941,12.30857086,12.09321404,12.23642921,10.49108791,671854400
2011/2/24,12.28642941,12.32678604,12.08464336,12.24571419,10.49904728,499900800
2011/2/25,12.33071423,12.44392872,12.31428623,12.43428612,10.66072178,380018800
2011/2/28,12.54428577,12.68035698,12.53999996,12.6146431,10.81535721,403074000
2011/3/1,12.69535732,12.70428562,12.41714287,12.47535706,10.6959362,456136800
2011/3/2,12.4985714,12.65535736,12.44285679,12.57571411,10.78197956,602590800
2011/3/3,12.75678635,12.84964275,12.71142864,12.84142876,11.00979519,500788400
2011/3/4,12.85964298,12.86750031,12.77678585,12.8571434,11.02326393,453266800
2011/3/7,12.90714264,12.91678619,12.54678631,12.69142914,10.88119221,546123200
2011/3/8,12.67535686,12.76428604,12.5803566,12.70571423,10.89343643,356316800
2011/3/9,12.66749954,12.67000008,12.52142906,12.58821392,10.79269791,453306000
2011/3/10,12.46857071,12.491786,12.31785679,12.38107109,10.61509705,507539200
2011/3/11,12.33321381,12.58285713,12.32142925,12.57107067,10.77799988,471080400
2011/3/14,12.61357117,12.7314291,12.54678631,12.62714291,10.8260746,435957200
2011/3/15,12.21785736,12.42285728,12.14642906,12.33678627,10.57712936,721081200
2011/3/16,12.21428585,12.25,11.65214252,11.78607082,10.10496616,1162011200
2011/3/17,12.02964306,12.12892914,11.80928612,11.95142937,10.24673748,659422400
2011/3/18,12.04035664,12.07857132,11.78571415,11.80964279,10.12517738,753214000
2011/3/21,11.99964333,12.13357067,11.97357082,12.11785698,10.38942814,409402000
2011/3/22,12.23428631,12.23642921,12.11214256,12.18571377,10.44760704,325922800
2011/3/23,12.11714268,12.15071392,11.99821377,12.11392879,10.38606262,372996400
2011/3/24,12.20892906,12.3571434,12.10214329,12.32035732,10.56304264,404712000
2011/3/25,12.43107128,12.57357121,12.3935709,12.55500031,10.76422024,448910000
2011/3/28,12.61250019,12.65428638,12.51571369,12.51571369,10.73053646,309355200
2011/3/29,12.41642857,12.53428555,12.35928631,12.53428555,10.74645901,352900800
2011/3/30,12.52285671,12.53142929,12.40857124,12.45107079,10.67511559,329406000
2011/3/31,12.36999989,12.49285698,12.35928631,12.44678593,10.67144012,274019200
2011/4/1,12.53964329,12.55678558,12.26071358,12.30571365,10.55049133,418661600
2011/4/4,12.29678631,12.30714321,12.08571434,12.18535709,10.44730186,460084800
2011/4/5,12.03535748,12.22321415,12,12.10321426,10.37687206,482731200
2011/4/6,12.18642902,12.28214264,12.04071426,12.0728569,10.35084629,402539200
2011/4/7,12.07499981,12.15821362,12.00107098,12.07428646,10.35207081,373447200
2011/4/8,12.14000034,12.14821434,11.92678642,11.96642876,10.25959778,377535200
2011/4/11,11.93071365,11.98821354,11.78642941,11.81428623,10.12915516,398946800
2011/4/12,11.80321407,11.9189291,11.79285717,11.87142944,10.17814922,425639200
2011/4/13,11.96500015,12.00500011,11.8757143,12.00464344,10.2923584,346220000
2011/4/14,11.95714283,12,11.85928631,11.87214279,10.17876244,301800800
2011/4/15,11.90357113,11.91571426,11.67142868,11.69499969,10.02688503,453605600
2011/4/18,11.64642906,11.8653574,11.43428612,11.85178566,10.16130638,609898800
2011/4/19,11.89642906,12.070714,11.84678555,12.06642914,10.34533501,419378400
2011/4/20,12.26821423,12.34821415,12.19642925,12.22892857,10.48466015,700666400
2011/4/21,12.67857075,12.68321419,12.4471426,12.52499962,10.73849678,753810400
2011/4/25,12.51214314,12.63392925,12.51071358,12.60750008,10.8092308,266546000
2011/4/26,12.62928581,12.67821407,12.47678566,12.51500034,10.72992325,338800000
2011/4/27,12.57999992,12.58392906,12.39642906,12.50535679,10.72165489,356213200
2011/4/28,12.36392879,12.49107075,12.34000015,12.38392925,10.61754799,360959200
2011/4/29,12.38500023,12.64107132,12.38107109,12.50464344,10.72104645,1006345200
2011/5/2,12.49071407,12.51678562,12.33928585,12.36714268,10.60315418,442713600
2011/5/3,12.42821407,12.49607086,12.34357071,12.43571377,10.6619482,313348000
2011/5/4,12.43785667,12.56535721,12.38857079,12.48464298,10.70389938,389250400
2011/5/5,12.44285679,12.53392887,12.35892868,12.38392925,10.61754799,335969200
2011/5/6,12.48892879,12.5,12.3646431,12.38071442,10.61479282,280134400
