,0
0,1000000.0
1,999556.3756181423
2,998022.6583768355
3,980578.7421230897
4,968719.9616220923
5,964472.2925639033
6,972925.7518747556
7,935313.1218474773
8,956169.1292263609
9,927428.572130957
10,925654.5780284904
11,932218.6634926891
12,932131.6105138762
13,956226.2370480534
14,938833.8711877866
15,941545.0685177754
16,918766.6382457262
17,915136.8406081264
18,936276.3130054097
19,941770.6633048404
20,918087.9866181813
21,922426.9532922122
22,922841.8092754707
23,886478.0996207369
24,862222.0364406488
25,855632.5919449097
26,861395.7559737143
27,852983.0871549943
28,875028.1732581637
29,896874.6927075265
30,915054.9389805589
31,903800.186413113
32,910460.0674630778
33,920087.2071622128
34,905036.4889165513
35,916882.2436982008
36,925710.7451100592
37,927379.8662048237
38,918490.8877615086
39,952407.3328296032
40,952913.4735168774
41,951744.7201819221
42,958435.9096478651
43,960914.5912099191
44,945360.342856965
45,942135.7251127983
46,944601.6014891969
47,960340.878702288
48,958533.3108936413
49,951538.1186471725
50,955025.8032825455
51,956966.7093944557
52,964871.6790237646
53,967550.0542568178
54,974269.8172432489
55,959336.3101202494
56,959642.6888695915
57,959456.8888049748
58,975738.2773749913
59,979207.9110738958
60,979648.6767420156
61,1002576.9868909661
62,1002026.4209017637
