,0
0,1695389.006428083
1,1729733.0400019954
2,1749019.2678812244
3,1762812.309033698
4,1766983.1196702912
5,1764399.2442083491
6,1777132.0852251835
7,1802915.958611304
8,1803817.5900440898
9,1818203.2576916318
10,1817458.57145412
11,1826423.1710222699
12,1848491.4395996272
13,1884733.915029768
14,1885564.176146386
15,1896988.7941745338
16,1924294.5713774906
17,1920100.0384983981
18,1893955.0247569543
19,1884345.902987043
20,1867879.3793888832
21,1824282.9926294424
22,1738661.9693395053
23,1773708.0545483192
24,1745499.6982142485
25,1670121.8841534758
26,1707846.4133973585
27,1737164.0464602618
28,1742150.9281429579
29,1778195.534497307
30,1820799.6313466993
31,1820957.2809822576
32,1828062.138600098
33,1833248.6519080955
34,1832370.415847346
35,1866621.4439966101
36,1896875.7576392666
37,1865969.4827678744
38,1851845.614427256
39,1811869.7243379126
40,1843861.0657900318
41,1869100.2118294223
42,1889560.4457984196
43,1898496.462171381
44,1910469.7030469356
45,1963037.3791061004
46,1950790.2546568813
47,1916129.915633201
48,1930560.9900342966
49,1929433.578691255
50,1918491.761267713
51,1881372.8365775135
52,1893617.2207624894
53,1887130.8827784027
54,1826496.3069775505
55,1784800.3802610545
56,1855318.188714993
57,1772073.6877526874
58,1740320.7097723305
59,1783605.483609339
60,1727550.911515193
61,1744523.6780788582
62,1764413.911855331
