,0
0,-2057.726003959775
1,5856.533229209948
2,1026.5034876577556
3,9011.49093909096
4,31162.389443280175
5,-7296.374758366495
6,25103.444480160717
7,22608.847381880507
8,-9601.776744296309
9,-64138.99063901417
10,41701.03214690741
11,-1677.9549520695582
12,26440.80203882465
13,16971.794645390008
14,-62092.77818025742
15,86088.92393482663
16,-21558.919170361944
17,-70780.34194796626
18,50180.10330759734
19,46748.70844176272
20,9069.574594836216
21,54218.878556040116
22,28409.03755345149
23,32534.65861119004
24,-68556.7681872081
25,-17865.29000118049
26,30981.281786639243
27,29695.979794167913
28,44922.29627489764
29,-23714.65670566447
30,41152.46073292289
31,-34827.9084583479
32,-445.3742123320699
33,-30450.539476968814
34,14181.466077336576
35,16393.68123899959
36,61331.669199596625
37,11172.697049216367
38,19866.083182974253
39,10635.818857045379
40,-37465.94059662707
41,53359.16006545909
42,18116.739861771464
43,17787.923518232536
44,11236.373512782622
45,-146680.0979044158
46,3664.19128024159
47,46817.988172831014
48,49480.64461413864
49,33594.72362844506
50,-655.6276974342763
51,26066.81174330972
52,21507.22580101341
53,4245.839447653387
54,-78308.11937601212
55,35194.64029407734
56,-83910.75083232159
57,38026.279788237065
58,57822.73414648557
59,49862.28023852501
60,10099.492450260092
61,71319.75987679744
