date,account_value
2017-02-03,1195494.965683772
2017-02-06,1203154.779973618
2017-02-07,1206016.0745135595
2017-02-08,1207282.7873006773
2017-02-09,1213888.9109665987
2017-02-10,1214094.2458645653
2017-02-13,1217315.3741089422
2017-02-14,1224109.7195096887
2017-02-15,1222086.6786028568
2017-02-16,1217581.0101317018
2017-02-17,1219907.5451851508
2017-02-21,1221787.3636826763
2017-02-22,1216824.0551793515
2017-02-23,1229448.029715535
2017-02-24,1227688.8147777906
2017-02-27,1227508.3401153665
2017-02-28,1223692.81317896
2017-03-01,1222980.267402444
2017-03-02,1228024.242863066
2017-03-03,1228574.3932315689
2017-03-06,1233678.0116616655
2017-03-07,1236537.5454032505
2017-03-08,1234881.0069050032
2017-03-09,1238904.8740663806
2017-03-10,1238769.2234027477
2017-03-13,1239101.1236917358
2017-03-14,1237712.4374377998
2017-03-15,1219772.6868667498
2017-03-16,1224285.558520827
2017-03-17,1217711.2028669573
2017-03-20,1219285.7486561665
2017-03-21,1220692.8783824963
2017-03-22,1225394.9060486464
2017-03-23,1237847.829141707
2017-03-24,1228483.4464896198
2017-03-27,1229368.7161267777
2017-03-28,1225847.1761747194
2017-03-29,1221587.4264770644
2017-03-30,1218608.9144517982
2017-03-31,1215440.8019461264
2017-04-03,1220321.295518555
2017-04-04,1215649.2412575285
2017-04-05,1211823.491886996
2017-04-06,1204018.7081810609
2017-04-07,1217630.2630146423
2017-04-10,1218766.3817720304
2017-04-11,1220908.4693877508
2017-04-12,1230111.1104785537
2017-04-13,1229635.3238270732
2017-04-17,1246848.6840842979
2017-04-18,1249451.705773146
2017-04-19,1249815.4621456563
2017-04-20,1252120.122573627
2017-04-21,1261528.321834383
2017-04-24,1265439.059849643
2017-04-25,1270592.5585048855
2017-04-26,1269509.7547933508
2017-04-27,1274121.6973598343
2017-04-28,1276542.8638640244
2017-05-01,1281712.1611471195
2017-05-02,1283988.2420481865
2017-05-03,1286087.8350384382
2017-05-04,1286163.6487321078
2017-05-05,1289477.789545397
2017-05-08,1293894.1931189026
2017-05-09,1297812.4058746623
2017-05-10,1269783.1479197934
2017-05-11,1282129.46318798
2017-05-12,1287686.8606410907
2017-05-15,1297112.27034924
2017-05-16,1298033.090172717
2017-05-17,1304028.4679402472
2017-05-18,1319007.677374795
2017-05-19,1322519.6452153705
2017-05-22,1325455.7989085112
2017-05-23,1320898.7478132185
2017-05-24,1325177.78602176
2017-05-25,1337130.0668299552
2017-05-26,1339291.76515316
2017-05-30,1329598.7453470686
2017-05-31,1335532.7150125322
2017-06-01,1334791.4785233252
2017-06-02,1306029.426503226
2017-06-05,1301630.5976584812
2017-06-06,1313946.6106692734
2017-06-07,1311361.6248278513
2017-06-08,1304424.546310237
2017-06-09,1307199.317952135
2017-06-12,1322869.5446069692
2017-06-13,1312026.931469813
2017-06-14,1318665.6380771443
2017-06-15,1318132.901449245
2017-06-16,1323644.0846858392
2017-06-19,1316832.1234865782
2017-06-20,1293352.69797599
2017-06-21,1308473.3935868111
2017-06-22,1288522.3118956836
2017-06-23,1285121.2766683393
2017-06-26,1276595.7149124718
2017-06-27,1262623.3407871106
2017-06-28,1275378.1736871935
2017-06-29,1284547.1828926709
2017-06-30,1284218.0437732844
2017-07-03,1299899.0174119906
2017-07-05,1302624.3878193786
2017-07-06,1311806.5514035958
2017-07-07,1313799.4379933565
2017-07-10,1321754.8006662738
2017-07-11,1328216.9936612959
2017-07-12,1328526.7920777227
2017-07-13,1331166.6800905266
2017-07-14,1335509.2418932996
2017-07-17,1325571.295758904
2017-07-18,1329775.1415799444
2017-07-19,1324325.8006651495
2017-07-20,1320234.6312643208
2017-07-21,1308987.4307960416
2017-07-24,1309129.7694908986
2017-07-25,1306721.6785723574
2017-07-26,1300870.1546417316
2017-07-27,1303695.1948577713
2017-07-28,1308923.9901705578
2017-07-31,1304626.2150540287
2017-08-01,1302131.536319825
2017-08-02,1278044.1684739986
2017-08-03,1287587.0082257302
2017-08-04,1302926.6937881191
2017-08-07,1301481.38204402
2017-08-08,1307210.6689588935
2017-08-09,1285656.7301268785
2017-08-10,1286667.0608822887
2017-08-11,1284291.919512103
2017-08-14,1302401.3279374992
2017-08-15,1298258.2728115604
2017-08-16,1292918.0808492086
2017-08-17,1291553.091508803
2017-08-18,1291354.6661244612
2017-08-21,1295609.3048966147
