datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence,tic_change
20200406,AAPL,262.47,250.9,263.11,249.38,50197850.0,-9.545311100985627,47.90777058560118,-16.732750640458114,5.097907812902032,302.6431416822004,99.99996185302734
20200406,AXP,83.87,80.22,84.25,78.74,11249740.0,-7.999501004108537,42.19802447378713,-57.92587677742033,11.828544129573764,302.6431416822004,100.0
20200406,BA,148.77,133.7,149.69,129.21,50520990.0,-30.459694684513376,37.734186362266,-48.73398552260559,20.595824937482426,302.6431416822004,0.0
20200406,CAT,120.43,120.04,121.73,118.13,5768764.0,-0.9646098864004528,49.90067023468219,60.42220682665153,20.88374620587738,302.6431416822004,100.0
20200406,CSCO,41.43,40.46,41.68,39.78,31575360.0,-0.3775410250897906,49.574932890551004,86.32130096115334,12.308247280232134,302.6431416822004,100.0
20200406,CVX,80.39,77.0,80.95,75.51,17323690.0,-4.538293751560686,45.512037570420816,0.2948361024773621,2.2865908378563446,302.6431416822004,100.0
20200406,DD,35.39,33.99,35.63,33.48,7283972.0,-2.895753841283863,40.320579878729035,-31.927283640355434,6.958025270043204,302.6431416822004,100.0
20200406,DIS,99.58,97.26,100.19,94.52,20376440.0,-5.735560257218283,42.65205602456865,-36.24174835960733,13.95268415936887,302.6431416822004,0.0
20200406,GS,158.23,155.47,158.93,153.77,4666599.0,-12.53410241350764,42.1788794646124,-42.53094718340709,19.38130991360462,302.6431416822004,100.0
20200406,HD,191.33,188.0,192.41,185.1273,7446998.0,-8.358019401567446,46.30343986751559,-23.93182748102642,9.656792460367852,302.6431416822004,0.0
20200406,IBM,114.82,110.35,115.63,110.13,7018721.0,-4.839353566681184,46.18285350163159,-10.34431455561618,10.118870714368203,302.6431416822004,0.0
20200406,INTC,58.43,56.63,58.77,56.12,32253380.0,-0.4005337985898692,51.6818896836381,96.60448177049456,13.038529924720725,302.6431416822004,100.0
20200406,JNJ,139.76,137.01,140.97,135.54,14956870.0,-1.4949822878783436,51.4633269239279,67.59846150558796,7.130678148852615,302.6431416822004,100.0
20200406,JPM,89.46,88.99,90.99,87.7,26794560.0,-7.207704908201054,41.59279886951162,-51.201870191433784,21.439736068431948,302.6431416822004,100.0
20200406,KO,46.67,45.39,47.01,44.69,22818250.0,-2.43355069448679,45.28290218570189,-25.466509766584412,13.038494233624153,302.6431416822004,0.0
20200406,MCD,177.04,169.2,177.87,168.24,8327283.0,-6.927645958534953,47.68778875956649,-2.6414187999527274,8.73438614411069,302.6431416822004,100.0
20200406,MMM,140.7,137.86,141.25,136.9,5601822.0,-3.631731469868527,46.63617857727189,-4.171874504002665,19.48677396842956,302.6431416822004,0.0
20200406,MRK,80.31,78.33,80.85,77.9,13655080.0,-0.7263036588203704,50.757241785283824,69.6123950454962,2.8661563393051277,302.6431416822004,0.0
20200406,MSFT,165.27,160.32,166.5,157.58,66878150.0,-1.0893152229110967,52.08149760211499,69.38071747260348,19.84737447890792,302.6431416822004,0.0
20200406,NKE,84.63,81.91,85.04,81.21,11263680.0,-1.6873967958285048,48.36604590147996,22.23047379053832,0.045785946339850066,302.6431416822004,100.0
20200406,PFE,34.57,33.92,34.9,33.78,38419660.0,-0.3272376569976672,50.3316629241323,75.41155914712661,14.438542708382414,302.6431416822004,0.0
20200406,PG,117.81,117.0,119.0,114.58,16846880.0,-1.1074661439104858,50.54942717224087,51.5521959449584,2.832854901582169,302.6431416822004,99.99998474121094
20200406,RTX,57.56,54.48,58.9,52.64,28594490.0,-14.652443723846645,30.81886238993556,-156.02743697825863,48.39753004652167,302.6431416822004,100.0
20200406,TRV,98.98,98.0,99.49,96.775,3042512.0,-6.039359916685483,42.64221867571589,-37.09735658982544,21.292868905222726,302.6431416822004,0.0
20200406,UNH,248.34,240.0,249.29,235.12,6364959.0,-7.378037259997343,47.928083619165136,-18.10968826343501,6.407902136038492,302.6431416822004,0.0
20200406,V,169.44,160.02,170.73,158.25,16455110.0,-6.178269231561843,48.04454452493316,-9.11789641499506,2.053653916590004,302.6431416822004,0.0
20200406,VZ,56.7,55.77,56.94,54.98,20237990.0,-0.34113817358373666,51.004244791412965,72.63254736254993,1.4925878862544124,302.6431416822004,0.0
20200406,WBA,42.63,41.9,42.65,41.19,10853280.0,-1.9064708022299757,43.72290195600599,-114.12755898972252,13.264021117759215,302.6431416822004,100.0
20200406,WMT,126.07,119.06,126.39,118.94,15787620.0,1.0923156535567389,56.63051891370617,201.28731928872585,28.75325919158918,302.6431416822004,0.0
20200406,XOM,40.47,39.88,40.83,39.23,41272760.0,-2.860224797428393,40.26921978468864,-17.35572998714252,9.299024514106613,302.6431416822004,0.0
20200407,AAPL,259.43,270.8,271.7,259.0,50615380.0,-8.145267694729514,47.367482948175955,5.3745218653713005,2.549503593000221,260.42108277825395,99.99996185302734
20200407,AXP,87.58,91.43,93.3,87.42,8688580.0,-7.061154575768428,43.80376671426717,-17.041793015602867,2.024723034728978,260.42108277825395,-99.99996185302734
