datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence,tic_change
20190405,AAPL,197.0,196.45,197.1,195.93,18473070.0,5.257615086153663,64.0111940239995,119.64395700701336,46.58211538783857,198.98641171385924,69.60971069335938
20190405,AXP,110.96,110.48,111.21,110.44,4552118.0,0.7064481813532666,56.90871319871822,43.1205431552975,16.625014505189014,198.98641171385924,25.795516967773438
20190405,BA,391.93,398.07,398.66,390.95,6779065.0,-2.4067914433534265,52.335388798327294,-5.967319340942477,0.33895576768820884,198.98641171385924,0.0
20190405,CAT,140.36,141.1,141.15,139.92,2811905.0,1.4761291030769144,56.41811369633739,115.43352887564743,24.989211451722287,198.98641171385924,0.0
20190405,CSCO,55.21,55.25,55.61,55.13,13812110.0,1.261983268115365,67.38714035294973,139.87017334776942,48.612583831850706,198.98641171385924,0.0
20190405,CVX,126.42,125.25,126.64,125.2,5544771.0,1.081859042645689,59.71582934862622,122.21449658899431,29.5527976289718,198.98641171385924,59.757537841796875
20190405,DD,113.71137113711373,113.86138613861387,115.07650765076508,112.991299129913,17653030.0,-11.68477430488025,28.93068200739087,-238.8888200594872,56.65416665760066,198.98641171385924,0.0
20190405,DIS,115.0,114.97,115.13,114.3061,10905620.0,0.2133347427542418,55.63127797628784,85.05080026446835,25.15209890110687,198.98641171385924,0.0
20190405,GS,202.38,203.38,205.5,202.06,2447107.0,1.1362162161861422,56.12404314336525,151.51502095379368,30.494799939354962,198.98641171385924,0.0
20190405,HD,202.06,200.86,203.13,200.61,3614446.0,3.8622596220723153,65.91677199763215,205.85411929467318,59.08521066947336,198.98641171385924,23.440956115722656
20190405,IBM,143.28,143.29,143.5,142.46,2730860.0,1.7154617037697903,61.322186656600536,151.5779195680041,34.17346938481049,198.98641171385924,0.0
20190405,INTC,55.6,55.75,55.95,54.87,18919000.0,0.8181417592242113,60.55213589312731,179.89617908816686,27.81129414586464,198.98641171385924,19.354455947875977
20190405,JNJ,136.18,136.04,136.58,135.7,4643231.0,0.1769316444652418,49.70302402570408,-128.76706345639806,15.238876964195054,198.98641171385924,59.21488571166992
20190405,JPM,105.31,105.8,106.11,104.99,9928430.0,0.18989165016760975,53.089663259462824,62.30575956120279,13.674231668670814,198.98641171385924,0.0
20190405,KO,46.47,46.49,46.58,46.2,7677534.0,0.09769726865495444,49.53757722408264,79.08149598799004,3.2735958953692674,198.98641171385924,0.0
20190405,MCD,190.71,190.35,191.24,190.07,2438151.0,2.177559081484759,60.87343920293034,144.59819121543012,31.09473526134192,198.98641171385924,0.0
20190405,MMM,215.41,215.88,216.49,214.8,1391067.0,2.3722818251876556,59.829571726744696,208.60887651151864,33.094689977806844,198.98641171385924,15.339295387268066
20190405,MRK,81.15,81.97,82.16,81.11,9849495.0,0.6451416357254232,54.27245533165723,-22.789491995221386,0.16939210833727905,198.98641171385924,76.03559112548828
20190405,MSFT,119.89,119.39,120.23,119.37,15737990.0,2.201514852323399,61.92797506970625,103.2115164442974,36.470123643755905,198.98641171385924,71.86658477783203
20190405,NKE,85.4,86.0,86.16,85.05,7280614.0,0.0725299338274823,54.714542026438075,7.777127096905452,1.2767903484228291,198.98641171385924,0.0
20190405,PFE,42.99,42.98,43.28,42.89,14761780.0,0.17989667380444985,52.796947163517245,84.08943388922205,15.581570891256328,198.98641171385924,54.05609130859375
20190405,PG,103.65,103.61,103.69,103.17,4281789.0,1.2698784640731589,63.29619847018849,93.99545776414507,15.395478531374426,198.98641171385924,0.0
